Sample_ID,Soil_pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Soil_Texture,Soil_Type,Class
1,7.05,16.5,100,41,164,0.57,0.4,32.8,67.7,231.2,Sandy,Black,Rice
2,5.3,29.0,184,13,337,0.68,1.98,28.9,48.2,230.9,Sandy,Red,Rice
3,7.23,35.4,69,37,222,0.49,1.2,25.2,55.6,136.7,Sandy,Laterite,Rice
4,6.72,73.4,126,20,332,0.86,1.92,35.7,56.7,115.8,Sandy,Black,Rice
5,7.12,61.4,50,39,101,1.02,1.41,34.7,44.8,163.0,Loamy,Black,Rice
6,6.95,25.3,216,41,133,1.18,0.88,36.5,76.3,123.7,Loamy,Black,Rice
7,5.73,16.9,110,61,187,0.43,2.75,29.3,78.1,121.7,Silty,Laterite,Rice
8,7.83,53.6,66,43,121,0.77,1.73,23.3,70.1,320.4,Silty,Alluvial,Rice
9,5.7,74.9,160,73,96,1.74,2.6,21.1,44.6,257.3,Sandy,Laterite,Rice
10,6.22,74.8,165,42,333,1.94,0.13,32.4,75.9,215.7,Loamy,Alluvial,Rice
11,5.36,41.1,146,10,184,2.15,2.31,28.2,41.4,241.3,Clay,Red,Rice
12,6.2,24.7,165,10,215,1.23,0.42,25.3,94.1,294.0,Clay,Black,Rice
13,5.77,49.0,50,20,298,1.85,2.94,28.7,42.5,251.3,Clay,Alluvial,Rice
14,6.69,51.4,84,79,152,1.65,1.26,31.4,57.4,320.9,Silty,Black,Rice
15,5.79,18.8,35,85,333,0.74,0.74,19.4,72.9,126.4,Sandy,Alluvial,Rice
16,5.23,29.3,201,72,159,1.32,2.2,35.6,69.6,130.5,Silty,Laterite,Rice
17,5.61,20.8,140,55,266,1.08,2.61,19.1,74.2,247.4,Sandy,Laterite,Rice
18,7.33,63.0,57,41,148,0.66,1.4,26.4,51.7,132.4,Sandy,Laterite,Rice
19,7.59,66.4,55,16,326,1.89,2.91,36.5,85.9,108.2,Silty,Laterite,Rice
20,5.68,39.1,45,31,244,0.3,1.23,36.5,82.1,142.7,Silty,Red,Rice
21,5.61,28.1,44,84,327,0.42,1.01,19.0,63.6,326.6,Clay,Black,Rice
22,8.07,19.8,77,18,84,1.58,0.78,20.4,88.4,131.4,Sandy,Black,Rice
23,6.34,50.0,163,50,183,0.69,2.18,22.8,58.7,254.8,Loamy,Laterite,Rice
24,6.01,60.1,48,11,284,1.48,1.73,20.0,67.3,206.7,Clay,Alluvial,Rice
25,7.82,67.8,124,46,130,1.13,1.68,24.1,94.0,294.1,Sandy,Alluvial,Rice
26,7.98,21.2,64,43,109,1.99,2.25,21.1,51.9,121.1,Loamy,Red,Rice
27,7.2,66.2,159,72,178,2.02,2.55,19.8,60.4,140.2,Sandy,Alluvial,Rice
28,7.47,53.2,97,30,276,1.35,1.34,18.2,39.5,316.1,Clay,Black,Rice
29,7.67,50.0,67,65,115,0.38,1.16,36.7,93.3,71.6,Loamy,Red,Rice
30,7.18,55.0,120,81,258,2.15,2.27,36.5,49.2,107.1,Clay,Laterite,Rice
31,5.08,59.2,115,62,177,0.81,2.38,20.2,87.3,309.0,Clay,Red,Rice
32,7.61,42.6,108,39,164,0.34,0.66,24.6,86.9,340.4,Loamy,Alluvial,Rice
33,7.05,39.0,167,52,64,0.52,2.91,21.6,92.8,137.0,Sandy,Laterite,Rice
34,6.11,62.2,141,87,311,0.52,2.71,21.8,37.7,186.5,Clay,Alluvial,Rice
35,6.38,71.9,114,89,210,1.56,0.46,36.0,65.4,253.4,Loamy,Laterite,Rice
36,7.23,48.3,79,63,244,1.59,2.72,30.3,53.1,218.9,Sandy,Alluvial,Rice
37,5.92,40.8,178,87,214,1.18,1.38,22.3,63.4,321.3,Clay,Black,Rice
38,5.91,54.8,188,52,97,1.86,2.28,31.5,48.5,117.7,Sandy,Black,Rice
39,5.78,43.5,48,68,262,1.98,1.77,32.4,58.0,175.9,Clay,Black,Rice
40,7.86,66.6,57,64,162,0.63,2.88,28.4,38.0,132.3,Sandy,Laterite,Rice
41,5.43,42.9,165,81,212,2.11,2.69,30.3,78.2,206.4,Silty,Red,Rice
42,7.38,43.5,96,41,191,1.76,1.61,30.5,51.5,82.5,Loamy,Red,Rice
43,5.87,34.2,168,20,120,0.59,1.21,21.1,47.8,180.3,Loamy,Laterite,Rice
44,6.33,27.4,137,59,349,2.1,0.16,35.6,69.5,198.3,Loamy,Alluvial,Rice
45,7.41,66.2,137,78,329,1.82,2.7,27.8,51.4,200.8,Silty,Alluvial,Rice
46,7.14,62.9,215,31,289,2.05,2.94,28.7,89.4,231.6,Sandy,Black,Rice
47,7.06,23.1,148,33,75,0.79,1.05,27.1,55.3,315.1,Loamy,Laterite,Rice
48,5.81,19.9,34,79,76,2.2,1.11,31.0,81.9,249.0,Sandy,Red,Rice
49,5.64,16.2,69,40,114,1.2,0.43,37.0,62.9,134.3,Loamy,Red,Rice
50,6.94,72.8,213,24,133,2.13,0.41,18.5,53.7,256.4,Silty,Laterite,Rice
51,8.01,26.9,181,98,174,0.49,2.34,35.0,71.0,95.1,Sandy,Alluvial,Wheat
52,6.7,54.7,47,74,224,0.32,1.32,27.8,61.0,165.0,Silty,Red,Wheat
53,6.39,59.0,196,44,325,1.77,1.45,34.5,70.5,153.5,Clay,Black,Wheat
54,5.89,42.0,148,82,244,0.94,1.53,24.5,64.3,162.9,Loamy,Alluvial,Wheat
55,5.89,50.8,100,81,55,1.28,0.65,22.8,59.4,221.0,Clay,Laterite,Wheat
