duration,protocol_type,src_bytes,dst_bytes,count,srv_count,label
102,2,6254,43861,43,73,1
435,1,17144,17771,52,88,1
860,1,24214,29975,23,17,0
270,2,40118,45648,59,18,1
106,1,15183,48285,2,35,0
71,2,6238,19063,19,73,0
700,1,6090,2106,45,96,0
20,2,11637,24557,14,54,1
614,2,22415,48854,24,68,1
121,1,24071,20607,93,46,0
466,1,45415,37599,77,48,1
214,1,42679,28529,70,98,1
330,0,41240,35954,16,97,1
458,0,18271,27856,83,32,1
87,0,36034,2573,99,20,0
372,2,33434,12808,8,80,0
99,1,4188,35367,37,21,1
871,2,49823,36801,47,47,0
663,0,10161,41196,59,36,1
130,1,28732,34072,62,14,1
661,2,11314,23752,85,34,0
308,1,23954,17685,1,91,0
769,2,21508,41401,87,70,0
343,1,21969,11372,71,31,1
491,0,45659,8996,10,10,0
413,0,37545,16458,63,9,1
805,1,36668,31889,76,72,0
385,2,23061,26665,80,77,0
191,0,13716,38243,71,76,1
955,0,39749,31653,20,56,1
276,0,39144,26657,17,24,1
160,1,16907,39952,93,1,1
459,1,18777,22180,63,63,1
313,2,27693,31896,81,34,1
21,2,42928,12875,94,6,1
252,2,26329,1622,37,84,1
747,1,46892,48756,31,17,0
856,1,16282,40809,10,66,1
560,2,23624,16725,44,41,1
474,2,23321,40760,88,38,0
58,1,10488,15646,32,40,1
510,2,22574,17029,40,74,0
681,0,5240,29402,7,23,0
475,1,43221,4263,10,59,1
699,2,10478,30987,85,45,0
975,1,45162,46828,50,18,1
782,0,19262,47924,87,67,0
189,1,4432,8646,40,89,0
957,1,29721,27529,16,41,0
686,1,13568,11664,75,31,1
957,1,14178,35737,45,38,1
562,0,22195,35796,31,35,0
875,1,302,24027,78,96,0
566,1,17022,29373,79,35,1
243,2,55,36397,53,2,1
831,1,45781,20609,85,72,0
504,2,8717,35835,91,7,0
130,0,28699,38709,19,96,1
484,0,8150,19250,32,69,1
818,0,2125,21172,73,40,1
646,0,44247,11555,39,67,1
20,2,48513,21874,31,12,1
840,1,16748,13081,96,48,0
166,0,39577,24063,1,59,1
273,1,4621,6819,96,1,0
387,2,15034,25712,32,59,1
600,2,46391,24762,76,4,0
315,2,5126,11046,29,43,1
13,0,5122,31463,32,26,1
241,1,18030,28769,76,31,0
776,1,17302,23150,25,20,0
345,1,19181,2711,21,7,1
564,2,38638,4853,65,71,1
897,0,1531,29077,37,49,1
339,2,40940,23863,89,66,1
91,2,40441,21792,45,43,1
366,1,23333,40483,14,57,0
955,2,39650,8942,97,2,0
454,1,34674,48275,43,85,1
427,0,35854,48594,48,69,0
508,1,46271,1762,74,1,0
775,0,8152,31987,60,86,0
