Sample_ID,Plant_Type,Disease_Class,Leaf_Color_Index,Spot_Count,Spot_Size_mm,Temperature_C,Humidity_%,Soil_pH,Nitrogen,Phosphorus,Potassium,Disease_Severity,Target_Label
L0001,Tomato,Healthy,0.316,0,0,22.7,59,5.8,76,106,179,Healthy,0
L0002,Tomato,Healthy,0.684,0,0,18.5,50,6,179,97,46,Healthy,0
L0003,Grape,Healthy,0.429,0,0,29,79,6.5,164,95,111,Healthy,0
L0004,Tomato,Healthy,0.793,0,0,20.7,72,6.3,89,47,126,Healthy,0
L0005,Tomato,Healthy,0.36,0,0,19.6,67,6.9,61,113,157,Healthy,0
L0006,Grape,Healthy,0.381,0,0,33.7,50,6.8,142,93,89,Healthy,0
L0007,Tomato,Healthy,0.33,0,0,21.9,63,7.8,109,32,137,Healthy,0
L0008,Apple,Healthy,0.595,0,0,32.2,55,6.4,103,105,108,Healthy,0
L0009,Tomato,Healthy,0.696,0,0,20.9,91,6.1,168,68,109,Healthy,0
L0010,Grape,Healthy,0.443,0,0,23.5,94,7.3,108,24,120,Healthy,0
L0011,Corn,Healthy,0.474,0,0,21.6,81,7.5,130,47,207,Healthy,0
L0012,Corn,Healthy,0.557,0,0,33.5,74,5.8,85,51,183,Healthy,0
L0013,Grape,Healthy,0.471,0,0,27.9,82,6.4,106,37,170,Healthy,0
L0014,Corn,Healthy,0.359,0,0,18.8,52,5.9,90,107,148,Healthy,0
L0015,Grape,Healthy,0.341,0,0,24.5,74,6.7,191,21,214,Healthy,0
L0016,Tomato,Healthy,0.743,0,0,27.1,62,7.3,137,34,115,Healthy,0
L0017,Corn,Healthy,0.403,0,0,18.1,91,7.5,117,84,85,Healthy,0
L0018,Grape,Healthy,0.893,0,0,32.8,64,7.4,179,97,90,Healthy,0
L0019,Potato,Healthy,0.543,0,0,20.7,94,7.6,50,96,122,Healthy,0
L0020,Corn,Healthy,0.313,0,0,33.8,64,6.1,111,92,60,Healthy,0
L0021,Tomato,Healthy,0.776,0,0,31.9,93,6.7,82,36,208,Healthy,0
