iter	MultiClass
0	6.659394185
1	6.635231601
2	6.612308262
3	6.587974908
4	6.564667971
5	6.540035879
6	6.515163577
7	6.490900686
8	6.466702287
9	6.442576127
10	6.41988459
11	6.395716643
12	6.372117592
13	6.349236821
14	6.325459255
15	6.301608275
16	6.276787382
17	6.254735191
18	6.230626397
19	6.206023711
20	6.181540733
21	6.157117865
22	6.133346248
23	6.111771135
24	6.08910874
25	6.064854273
26	6.039845544
27	6.018225389
28	5.994370045
29	5.971922698
30	5.948607845
31	5.924412873
32	5.90058325
33	5.877226373
34	5.854488864
35	5.830289798
36	5.805812665
37	5.782867314
38	5.760355737
39	5.738657307
40	5.714709636
41	5.690662719
42	5.666710185
43	5.643122808
44	5.620616469
45	5.596325076
46	5.573363894
47	5.54988629
48	5.528443798
49	5.504510682
50	5.481257758
51	5.45710133
52	5.43352132
53	5.410509191
54	5.386898323
55	5.363568139
56	5.339751736
57	5.315775719
58	5.29448119
59	5.270614846
60	5.247245603
61	5.22680589
62	5.203992434
63	5.180119802
64	5.155755077
65	5.135893005
66	5.112432747
67	5.088444843
68	5.064514624
69	5.040346798
70	5.016478371
71	4.992102341
72	4.96787402
73	4.944600378
74	4.921670777
75	4.897936418
76	4.874906302
77	4.850762039
78	4.827568924
79	4.805939303
80	4.781998018
81	4.758049442
82	4.7353077
83	4.711757384
84	4.688861805
85	4.666694663
86	4.643394311
87	4.620560559
88	4.59769577
89	4.573755274
90	4.552394661
91	4.529466696
92	4.505785764
93	4.483774672
94	4.460824781
95	4.43984744
96	4.417020906
97	4.393576978
98	4.372012363
99	4.348349739
100	4.325157193
101	4.302643493
102	4.281729195
103	4.262097017
104	4.24140184
105	4.217949682
106	4.197130625
107	4.175238201
108	4.152836762
109	4.130714367
110	4.11056727
111	4.08815739
112	4.066026837
113	4.04452559
114	4.025262826
115	4.004397563
116	3.982562486
117	3.960197448
118	3.941839714
119	3.919572307
120	3.900377766
121	3.881395884
122	3.863214157
123	3.847224783
124	3.826946592
125	3.808500416
126	3.788452507
127	3.768260425
128	3.746996934
129	3.731216008
130	3.711160931
131	3.694691345
132	3.678757921
133	3.662325646
134	3.641696961
135	3.622656967
136	3.607499679
137	3.592705405
138	3.576656916
139	3.559275019
140	3.540252169
141	3.522147848
142	3.503043261
143	3.490705881
144	3.473052303
145	3.453886167
146	3.435023705
147	3.416769403
148	3.403144817
149	3.385266066
150	3.366467969
151	3.349071662
152	3.330790864
153	3.314963182
154	3.29696979
155	3.27556372
156	3.263870502
157	3.245254519
158	3.225794604
159	3.212762984
160	3.193899562
161	3.178316653
162	3.159214022
163	3.142665908
164	3.128140087
165	3.11658719
166	3.101439024
167	3.088553805
168	3.070499835
169	3.05180693
170	3.03270245
171	3.016574574
172	2.998223875
173	2.984486885
174	2.970759
175	2.957120833
176	2.940893902
177	2.922055582
178	2.90333702
179	2.886837696
180	2.873775773
181	2.860098299
182	2.841721763
183	2.825768811
184	2.811288043
185	2.794473744
186	2.779199026
187	2.76462845
188	2.746841387
189	2.732353762
190	2.723288425
191	2.706032823
192	2.690487698
193	2.676667416
194	2.658925118
195	2.646334891
196	2.631283612
197	2.618270584
198	2.603513712
199	2.590476251
200	2.576199865
201	2.562748798
202	2.551062551
203	2.532830556
204	2.516108616
