Actual,Predicted
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Fraud
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Fraud,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Legit
Fraud,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Fraud,Fraud
Fraud,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Fraud,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Legit
Legit,Fraud
Legit,Legit
Legit,Legit
