iter	Passed	Remaining
0	0	482
1	0	430
2	1	412
3	1	403
4	1	390
5	2	383
6	2	393
7	3	395
8	3	391
9	3	388
10	4	379
11	4	378
12	4	376
13	5	376
14	5	375
15	6	375
16	6	378
17	6	379
18	7	376
19	7	374
20	8	373
21	8	373
22	8	371
23	9	370
24	9	370
25	9	369
26	10	368
27	10	367
28	10	365
29	11	364
30	11	363
31	12	363
32	12	364
33	12	363
34	13	362
35	13	360
36	13	357
37	14	358
38	14	358
39	14	357
40	15	356
41	15	355
42	15	354
43	16	354
44	16	352
45	16	351
46	17	352
47	17	352
48	18	351
49	18	351
50	18	350
51	19	350
52	19	349
53	19	349
54	20	348
55	20	348
56	21	347
57	21	347
58	21	346
59	22	345
60	23	357
61	23	356
62	23	355
63	24	354
64	24	354
65	24	353
66	25	353
67	25	352
68	26	352
69	26	353
70	26	352
71	27	352
72	27	351
73	28	350
74	28	349
75	28	349
76	29	348
77	29	347
78	29	347
79	30	346
80	30	346
81	30	346
82	31	345
83	31	345
84	32	344
85	32	344
86	32	343
87	33	342
88	33	342
89	33	341
90	34	341
91	34	341
92	34	340
93	35	340
94	35	340
95	36	339
96	36	338
97	36	338
98	37	337
99	37	337
100	37	335
101	38	335
102	38	335
103	38	334
104	39	333
105	39	333
106	39	332
107	40	332
108	40	332
109	40	331
110	41	331
111	41	330
112	42	330
113	42	329
114	42	329
115	43	328
116	43	328
117	43	327
118	44	326
119	44	326
120	44	326
121	45	325
122	45	325
123	45	324
124	46	323
125	46	323
126	46	323
127	47	322
128	47	322
129	48	322
130	48	321
131	48	321
132	49	321
133	49	320
134	50	320
135	50	320
136	50	319
137	51	319
138	51	318
139	51	318
140	52	318
141	52	318
142	52	317
143	53	317
144	53	316
145	54	316
146	54	315
147	54	315
148	55	314
149	55	314
150	55	314
151	56	313
152	56	313
153	56	312
154	57	312
155	57	311
156	58	311
157	58	310
158	58	310
159	59	310
160	59	309
161	59	309
162	60	309
163	60	308
164	60	308
165	61	307
166	61	307
167	62	307
168	62	306
169	62	306
170	63	305
171	63	305
172	63	304
173	64	304
174	64	304
175	64	303
176	65	303
177	65	302
178	65	302
179	66	301
180	66	301
181	66	301
182	67	300
183	67	300
184	68	300
185	68	300
186	68	299
187	69	299
188	69	298
189	70	298
190	70	298
