transaction_id,amount,hour_of_day,merchant_category,channel,distance_from_home_km,account_age_days,num_transactions_last_24h,avg_transaction_amount_30d,amount_to_avg_ratio,is_foreign_transaction,card_present,is_new_device,cvv_match,failed_pin_attempts_24h,is_fraud
TXN000001,0.0,19,healthcare,in_store,8.4,3883,3,176.87,0.0,0,1,0,1,0,0
TXN000002,111.09,12,restaurant,in_store,7.58,220,1,207.68,0.53,0,1,0,1,0,0
TXN000003,87.37,11,utilities,mobile_app,0.0,2557,3,58.01,1.51,0,1,0,1,0,0
TXN000004,66.24,5,entertainment,atm,2.89,227,2,69.4,0.95,0,0,0,1,0,0
TXN000005,172.76,18,travel,in_store,10.82,69,2,73.11,2.36,0,1,0,1,0,0
TXN000006,54.65,2,online_retail,in_store,38.12,3368,2,112.69,0.48,0,0,0,1,0,0
TXN000007,82.65,8,online_retail,mobile_app,0.0,1402,2,183.7,0.45,0,0,0,1,0,0
TXN000008,256.81,7,fuel,mobile_app,11.15,2163,0,60.61,4.24,0,0,0,1,0,0
TXN000009,169.71,3,online_retail,online,9.27,759,0,7.56,22.45,0,1,0,1,0,0
TXN000010,272.31,3,fuel,mobile_app,32.51,0,0,81.06,3.36,0,1,1,1,0,0
TXN000011,68.6,14,jewelry,mobile_app,0.0,2061,3,49.82,1.38,0,0,0,1,0,1
TXN000012,24.46,14,grocery,online,0.0,3702,0,122.07,0.2,0,1,0,1,0,0
TXN000013,0.0,13,fuel,in_store,0.0,2782,0,216.52,0.0,0,0,1,1,0,0
TXN000014,84.16,13,electronics,online,37.34,1921,1,62.37,1.35,0,1,0,1,0,0
TXN000015,133.6,11,grocery,in_store,0.0,3051,2,91.14,1.47,0,0,0,1,0,1
TXN000016,0.0,20,grocery,in_store,0.0,0,2,141.29,0.0,0,0,0,1,0,0
TXN000017,50.05,18,online_retail,online,0.0,1608,4,62.31,0.8,0,0,0,1,0,0
TXN000018,160.57,6,restaurant,atm,0.0,1133,1,27.65,5.81,0,1,0,1,0,0
TXN000019,0.0,19,fuel,online,0.0,2439,0,272.98,0.0,0,0,1,1,0,0
TXN000020,158.81,8,online_retail,in_store,44.22,1016,2,44.92,3.54,0,1,0,1,0,0
TXN000021,79.4,17,online_retail,online,31.4,2806,1,209.81,0.38,0,1,0,1,0,0
TXN000022,100.45,14,online_retail,in_store,8.28,3593,1,178.15,0.56,0,0,1,1,0,0
TXN000023,262.49,15,healthcare,online,0.0,119,3,69.58,3.77,0,1,0,1,1,0
