order_id,order_date,customer_id,customer_segment,region,sales_channel,product_category,product_name,quantity,currency,unit_price,discount_pct,gross_sales,discount_amount,net_sales,unit_cost,cost_of_goods_sold,shipping_cost,gross_profit,contribution_profit,contribution_margin_pct,delivery_days,customer_satisfaction_1_to_5
ORD-00001,2025-01-01,CUS-0001,Small Business,North,Direct Sales,Accessories,Backpack,4,USD,59,5,236,11.8,224.2,25,100,10.44,124.2,113.76,50.74,8,3
ORD-00002,2025-01-02,CUS-0164,Corporate,South,Online,Technology,Laptop,18,USD,899,0,16182,0,16182,610,10980,31.94,5202,5170.06,31.95,9,3
ORD-00003,2025-01-02,CUS-0238,Consumer,East,Direct Sales,Technology,Keyboard,5,USD,65,0,325,0,325,28,140,12.86,185,172.14,52.97,6,5
ORD-00004,2025-01-02,CUS-0010,Consumer,East,Online,Accessories,Desk Lamp,1,USD,39,10,39,3.9,35.1,16,16,7.71,19.1,11.39,32.45,7,3
ORD-00005,2025-01-05,CUS-0049,Small Business,West,Direct Sales,Office Supplies,Notebook Set,1,USD,18,10,18,1.8,16.2,7,7,8.31,9.2,0.89,5.49,8,4
ORD-00006,2025-01-05,CUS-0089,Consumer,West,Online,Accessories,Desk Lamp,4,USD,39,20,156,31.2,124.8,16,64,13.79,60.8,47.01,37.67,6,3
ORD-00007,2025-01-05,CUS-0249,Small Business,East,Direct Sales,Furniture,Office Chair,5,USD,195,5,975,48.75,926.25,105,525,12.53,401.25,388.72,41.97,4,4
ORD-00008,2025-01-05,CUS-0241,Small Business,East,Direct Sales,Technology,Laptop,8,USD,899,10,7192,719.2,6472.8,610,4880,18.2,1592.8,1574.6,24.33,1,5
ORD-00009,2025-01-05,CUS-0123,Corporate,East,Online,Furniture,Desk,6,USD,350,10,2100,210,1890,210,1260,15.87,630,614.13,32.49,6,4
ORD-00010,2025-01-06,CUS-0069,Small Business,West,Direct Sales,Office Supplies,Printer Ink,4,USD,49,15,196,29.4,166.6,24,96,12.29,70.6,58.31,35,6,4
ORD-00011,2025-01-07,CUS-0221,Corporate,West,Direct Sales,Office Supplies,Paper Pack,18,USD,12,0,216,0,216,5,90,33.29,126,92.71,42.92,3,5
ORD-00012,2025-01-07,CUS-0053,Consumer,West,Retail,Office Supplies,Notebook Set,3,USD,18,0,54,0,54,7,21,0,33,33,61.11,0,4
ORD-00013,2025-01-07,CUS-0051,Small Business,West,Retail,Office Supplies,Printer Ink,7,USD,49,0,343,0,343,24,168,0,175,175,51.02,0,5
ORD-00014,2025-01-07,CUS-0162,Small Business,South,Direct Sales,Office Supplies,Printer Ink,1,USD,49,0,49,0,49,24,24,5.91,25,19.09,38.96,5,5
ORD-00015,2025-01-08,CUS-0153,Consumer,West,Direct Sales,Office Supplies,Printer Ink,4,USD,49,15,196,29.4,166.6,24,96,9.58,70.6,61.02,36.63,3,4
ORD-00016,2025-01-08,CUS-0249,Small Business,East,Direct Sales,Technology,Laptop,3,USD,899,0,2697,0,2697,610,1830,9.91,867,857.09,31.78,9,3
ORD-00017,2025-01-09,CUS-0002,Corporate,South,Online,Technology,Laptop,9,USD,899,5,8091,404.55,7686.45,610,5490,22.09,2196.45,2174.36,28.29,7,3
ORD-00018,2025-01-09,CUS-0016,Small Business,North,Online,Office Supplies,Notebook Set,5,USD,18,10,90,9,81,7,35,14.66,46,31.34,38.69,4,4
ORD-00019,2025-01-09,CUS-0057,Consumer,East,Online,Furniture,Office Chair,1,USD,195,0,195,0,195,105,105,11.42,90,78.58,40.3,6,4
ORD-00020,2025-01-09,CUS-0077,Consumer,South,Direct Sales,Technology,Monitor,1,USD,249,10,249,24.9,224.1,155,155,6.22,69.1,62.88,28.06,7,3
ORD-00021,2025-01-10,CUS-0242,Corporate,South,Retail,Accessories,Desk Lamp,11,USD,39,10,429,42.9,386.1,16,176,0,210.1,210.1,54.42,0,4
